outcome,predictor,pct_given_yes,pct_given_no,diff_pct,n_yes_group,n_no_group,p_value
QN27,QN12,42.3,19.7,22.6,824,18355,4.21E-08
QN27,QN13,28.6,19.4,9.2,492,10725,0.000601
QN27,QN16,29.2,17.6,11.6,2279,9077,4.54E-09
QN27,QN19,52.8,16.5,36.3,1634,15339,1.58E-34
QN27,QN20,48.6,15.5,33.2,1812,13773,4.58E-33
QN27,QN21,52,16.9,35.1,879,12401,1.30E-23
QN27,QN22,43.7,21,22.6,1181,10167,1.34E-14
QN27,QN23,27.8,16.8,11.1,5638,12387,1.20E-18
QN27,QN24,41.9,15,27,3977,15572,2.28E-30
QN27,QN25,46.3,15.2,31.1,3365,16162,1.32E-26
QN27,QN26,44.7,4.5,40.1,7943,11574,1.16E-53
QN27,QN43,35.9,18.3,17.7,1409,13713,6.24E-14
QN27,QN48,36.4,16.7,19.7,3356,15861,2.37E-21
QN27,QN84,45,10.5,34.5,4725,10705,1.72E-24
QN27,QN85,11.3,23.1,-11.8,3917,13228,4.31E-12
QN27,QN86,41.9,19.8,22.1,461,13755,0.000151
QN27,QN87,16.7,27.4,-10.7,11564,4753,1.05E-11
QN27,QN88,54.4,17.3,37.1,1150,12384,3.99E-26
QN27,QN89,52.2,16.5,35.8,1760,11868,5.09E-27
QN27,QN90,53.7,19.8,33.8,384,13225,2.68E-12
QN27,QN91,48.5,19.7,28.8,350,13224,9.87E-09
QN27,QN99,19.2,29.3,-10,13339,2119,0.00219
QN27,QN100,38,14.5,23.4,3771,9306,2.25E-38
QN27,QN101,39.3,13,26.3,4242,8795,7.89E-33
QN27,QN102,35,18.4,16.6,2299,10761,1.39E-09
QN27,QN103,14.6,26.7,-12.1,5949,5066,4.20E-17
QN27,QN104,18.6,28,-9.4,8842,1767,2.74E-08
QN27,qntb4,37.6,15.3,22.3,3374,14154,5.25E-33
QN27,qnillict,44.8,17.3,27.5,1219,9479,2.51E-17
QN27,qnowt,20.9,19.8,1.1,2679,14930,0.324
QN27,qnobese,24.4,19.1,5.3,2920,14689,0.00059
QN28,QN12,36.5,15.8,20.7,772,17158,4.83E-09
QN28,QN13,23.1,15.7,7.4,491,10725,0.00951
QN28,QN16,23.6,13.7,10,2258,9087,4.96E-11
QN28,QN19,43.2,13.1,30.1,1504,14198,5.60E-30
QN28,QN20,40.3,12.5,27.8,1808,13772,1.53E-28
QN28,QN21,44.9,13.6,31.3,873,12364,1.67E-23
